ws_100_t-1_dwd_1,ws_100_t-1_dwd_max,ws_100_t-1_dwd_min,ws_100_t_dwd_1,ws_100_t_dwd_max,ws_100_t_dwd_min,ws_100_t+1_dwd_1,ws_100_t+1_dwd_max,ws_100_t+1_dwd_min,rad_t-1_dwd,rad_t-1_dwd_max,rad_t-1_dwd_min,rad_t_dwd,rad_t_dwd_max,rad_t_dwd_min,rad_t+1_dwd,rad_t+1_dwd_max,rad_t+1_dwd_min,cloudcov_t-1_dwd,cloudcov_t-1_dwd_max,cloudcov_t-1_dwd_min,cloudcov_t_dwd,cloudcov_t_dwd_max,cloudcov_t_dwd_min,cloudcov_t+1_dwd,cloudcov_t+1_dwd_max,cloudcov_t+1_dwd_min,ref_datetime,valid_datetime,hours
6.434382015,8.018540382,5.655839443,6.84442891,8.219499588,6.050800323,7.254475805,8.420458794,6.445761204,182.553,238.35,97.15,247.892,301.895,176.81,313.231,365.44,256.47,0.944,1,0.88,0.9155,0.99,0.835,0.887,0.98,0.79,2024-05-11 06:00:00+00:00,2024-05-13 07:30:00+00:00,7
6.84442891,8.219499588,6.050800323,7.254475805,8.420458794,6.445761204,7.764792667,8.496443748,7.186809301,247.892,301.895,176.81,313.231,365.44,256.47,371.25025,433.475,309.425,0.9155,0.99,0.835,0.887,0.98,0.79,0.85075,0.965,0.685,2024-05-11 06:00:00+00:00,2024-05-13 08:00:00+00:00,8
7.254475805,8.420458794,6.445761204,7.764792667,8.496443748,7.186809301,8.275109529,8.572428703,7.927857399,313.231,365.44,256.47,371.25025,433.475,309.425,429.2695,501.51,362.38,0.887,0.98,0.79,0.85075,0.965,0.685,0.8145,0.95,0.58,2024-05-11 06:00:00+00:00,2024-05-13 08:30:00+00:00,8
7.764792667,8.496443748,7.186809301,8.275109529,8.572428703,7.927857399,8.557524615,9.026853085,8.186690807,371.25025,433.475,309.425,429.2695,501.51,362.38,454.27975,533.95,359.52,0.85075,0.965,0.685,0.8145,0.95,0.58,0.7965,0.935,0.59,2024-05-11 06:00:00+00:00,2024-05-13 09:00:00+00:00,9
8.275109529,8.572428703,7.927857399,8.557524615,9.026853085,8.186690807,8.8399397,9.481277466,8.445524216,429.2695,501.51,362.38,454.27975,533.95,359.52,479.29,566.39,356.66,0.8145,0.95,0.58,0.7965,0.935,0.59,0.7785,0.92,0.6,2024-05-11 06:00:00+00:00,2024-05-13 09:30:00+00:00,9
8.557524615,9.026853085,8.186690807,8.8399397,9.481277466,8.445524216,9.303219464,9.76920414,8.854525566,454.27975,533.95,359.52,479.29,566.39,356.66,478.3385,571.78,364.045,0.7965,0.935,0.59,0.7785,0.92,0.6,0.815,0.96,0.605,2024-05-11 06:00:00+00:00,2024-05-13 10:00:00+00:00,10
8.8399397,9.481277466,8.445524216,9.303219464,9.76920414,8.854525566,9.766499228,10.05713081,9.263526917,479.29,566.39,356.66,478.3385,571.78,364.045,477.387,577.17,371.43,0.7785,0.92,0.6,0.815,0.96,0.605,0.8515,1,0.61,2024-05-11 06:00:00+00:00,2024-05-13 10:30:00+00:00,10
9.303219464,9.76920414,8.854525566,9.766499228,10.05713081,9.263526917,10.36436103,10.59277868,9.954863548,478.3385,571.78,364.045,477.387,577.17,371.43,461.9735,581.91,337,0.815,0.96,0.605,0.8515,1,0.61,0.8605,1,0.615,2024-05-11 06:00:00+00:00,2024-05-13 11:00:00+00:00,11
9.766499228,10.05713081,9.263526917,10.36436103,10.59277868,9.954863548,10.96222284,11.12842655,10.64620018,477.387,577.17,371.43,461.9735,581.91,337,446.56,586.65,302.57,0.8515,1,0.61,0.8605,1,0.615,0.8695,1,0.62,2024-05-11 06:00:00+00:00,2024-05-13 11:30:00+00:00,11
10.36436103,10.59277868,9.954863548,10.96222284,11.12842655,10.64620018,10.38299027,10.6932373,9.815371513,461.9735,581.91,337,446.56,586.65,302.57,415.956,558.92,272.375,0.8605,1,0.615,0.8695,1,0.62,0.8885,1,0.675,2024-05-11 06:00:00+00:00,2024-05-13 12:00:00+00:00,12
10.96222284,11.12842655,10.64620018,10.38299027,10.6932373,9.815371513,9.803757694,10.25804806,8.984542847,446.56,586.65,302.57,415.956,558.92,272.375,385.352,531.19,242.18,0.8695,1,0.62,0.8885,1,0.675,0.9075,1,0.73,2024-05-11 06:00:00+00:00,2024-05-13 12:30:00+00:00,12
10.38299027,10.6932373,9.815371513,9.803757694,10.25804806,8.984542847,9.55174413,10.22253752,8.690954685,415.956,558.92,272.375,385.352,531.19,242.18,368.07325,522.245,210.25,0.8885,1,0.675,0.9075,1,0.73,0.889,1,0.62,2024-05-11 06:00:00+00:00,2024-05-13 13:00:00+00:00,13
9.803757694,10.25804806,8.984542847,9.55174413,10.22253752,8.690954685,9.299730566,10.18702698,8.397366524,385.352,531.19,242.18,368.07325,522.245,210.25,350.7945,513.3,178.32,0.9075,1,0.73,0.889,1,0.62,0.8705,1,0.51,2024-05-11 06:00:00+00:00,2024-05-13 13:30:00+00:00,13
9.55174413,10.22253752,8.690954685,9.299730566,10.18702698,8.397366524,9.990139617,10.69915581,9.391498089,368.07325,522.245,210.25,350.7945,513.3,178.32,328.477,455.335,188.135,0.889,1,0.62,0.8705,1,0.51,0.85825,1,0.49,2024-05-11 06:00:00+00:00,2024-05-13 14:00:00+00:00,14
9.299730566,10.18702698,8.397366524,9.990139617,10.69915581,9.391498089,10.68054867,11.21128464,10.38562965,350.7945,513.3,178.32,328.477,455.335,188.135,306.1595,397.37,197.95,0.8705,1,0.51,0.85825,1,0.49,0.846,1,0.47,2024-05-11 06:00:00+00:00,2024-05-13 14:30:00+00:00,14
9.990139617,10.69915581,9.391498089,10.68054867,11.21128464,10.38562965,10.56052343,11.27812719,10.11507463,328.477,455.335,188.135,306.1595,397.37,197.95,254.4235,339.405,145.39,0.85825,1,0.49,0.846,1,0.47,0.8605,1,0.415,2024-05-11 06:00:00+00:00,2024-05-13 15:00:00+00:00,15
10.68054867,11.21128464,10.38562965,10.56052343,11.27812719,10.11507463,10.44049819,11.34496975,9.844519615,306.1595,397.37,197.95,254.4235,339.405,145.39,202.6875,281.44,92.83,0.846,1,0.47,0.8605,1,0.415,0.875,1,0.36,2024-05-11 06:00:00+00:00,2024-05-13 15:30:00+00:00,15
10.56052343,11.27812719,10.11507463,10.44049819,11.34496975,9.844519615,10.34690768,11.27879047,9.695720196,254.4235,339.405,145.39,202.6875,281.44,92.83,154.2355,219.42,71.41,0.8605,1,0.415,0.875,1,0.36,0.92225,1,0.48,2024-05-11 06:00:00+00:00,2024-05-13 16:00:00+00:00,16
10.44049819,11.34496975,9.844519615,10.34690768,11.27879047,9.695720196,10.25331717,11.2126112,9.546920776,202.6875,281.44,92.83,154.2355,219.42,71.41,105.7835,157.4,49.99,0.875,1,0.36,0.92225,1,0.48,0.9695,1,0.6,2024-05-11 06:00:00+00:00,2024-05-13 16:30:00+00:00,16
10.34690768,11.27879047,9.695720196,10.25331717,11.2126112,9.546920776,10.51730182,11.38985586,9.822176456,154.2355,219.42,71.41,105.7835,157.4,49.99,71.41225,107.34,33.695,0.92225,1,0.48,0.9695,1,0.6,0.98275,1,0.76,2024-05-11 06:00:00+00:00,2024-05-13 17:00:00+00:00,17
10.25331717,11.2126112,9.546920776,10.51730182,11.38985586,9.822176456,10.78128648,11.56710052,10.09743214,105.7835,157.4,49.99,71.41225,107.34,33.695,37.041,57.28,17.4,0.9695,1,0.6,0.98275,1,0.76,0.996,1,0.92,2024-05-11 06:00:00+00:00,2024-05-13 17:30:00+00:00,17
10.51730182,11.38985586,9.822176456,10.78128648,11.56710052,10.09743214,11.10218966,12.0942955,10.36005974,71.41225,107.34,33.695,37.041,57.28,17.4,20.52525,31.96,9.875,0.98275,1,0.76,0.996,1,0.92,0.998,1,0.96,2024-05-11 06:00:00+00:00,2024-05-13 18:00:00+00:00,18
10.78128648,11.56710052,10.09743214,11.10218966,12.0942955,10.36005974,11.42309284,12.62149048,10.62268734,37.041,57.28,17.4,20.52525,31.96,9.875,4.0095,6.64,2.35,0.996,1,0.92,0.998,1,0.96,1,1,1,2024-05-11 06:00:00+00:00,2024-05-13 18:30:00+00:00,18
11.10218966,12.0942955,10.36005974,11.42309284,12.62149048,10.62268734,11.33164085,12.23584461,10.69756413,20.52525,31.96,9.875,4.0095,6.64,2.35,1.99925,3.525,0.955,0.998,1,0.96,1,1,1,0.99975,1,0.995,2024-05-11 06:00:00+00:00,2024-05-13 19:00:00+00:00,19
11.42309284,12.62149048,10.62268734,11.33164085,12.23584461,10.69756413,11.24018886,11.85019875,10.77244091,4.0095,6.64,2.35,1.99925,3.525,0.955,-0.011,0.41,-0.44,1,1,1,0.99975,1,0.995,0.9995,1,0.99,2024-05-11 06:00:00+00:00,2024-05-13 19:30:00+00:00,19
11.33164085,12.23584461,10.69756413,11.24018886,11.85019875,10.77244091,11.40565785,11.85210419,10.83386374,1.99925,3.525,0.955,-0.011,0.41,-0.44,-0.02275,0.365,-0.445,0.99975,1,0.995,0.9995,1,0.99,0.99975,1,0.995,2024-05-11 06:00:00+00:00,2024-05-13 20:00:00+00:00,20
11.24018886,11.85019875,10.77244091,11.40565785,11.85210419,10.83386374,11.57112683,11.85400963,10.89528656,-0.011,0.41,-0.44,-0.02275,0.365,-0.445,-0.0345,0.32,-0.45,0.9995,1,0.99,0.99975,1,0.995,1,1,1,2024-05-11 06:00:00+00:00,2024-05-13 20:30:00+00:00,20
11.40565785,11.85210419,10.83386374,11.57112683,11.85400963,10.89528656,11.73429554,12.04177618,11.18014479,-0.02275,0.365,-0.445,-0.0345,0.32,-0.45,-0.038,0.275,-0.39,0.99975,1,0.995,1,1,1,1,1,1,2024-05-11 06:00:00+00:00,2024-05-13 21:00:00+00:00,21
11.57112683,11.85400963,10.89528656,11.73429554,12.04177618,11.18014479,11.89746425,12.22954273,11.46500301,-0.0345,0.32,-0.45,-0.038,0.275,-0.39,-0.0415,0.23,-0.33,1,1,1,1,1,1,1,1,1,2024-05-11 06:00:00+00:00,2024-05-13 21:30:00+00:00,21
9.936693814,10.2936306,9.621912003,9.834346612,10.16261482,9.499879837,9.689808594,10.0688014,9.370493412,0.00675,0.145,-0.115,-0.0035,0.13,-0.1,-0.01425,0.11,-0.115,0.99125,1,0.905,0.987,1,0.84,0.98625,1,0.865,2024-05-13 00:00:00+00:00,2024-05-13 22:00:00+00:00,22
9.834346612,10.16261482,9.499879837,9.689808594,10.0688014,9.370493412,9.545270575,9.974987984,9.241106987,-0.0035,0.13,-0.1,-0.01425,0.11,-0.115,-0.025,0.09,-0.13,0.987,1,0.84,0.98625,1,0.865,0.9855,1,0.89,2024-05-13 00:00:00+00:00,2024-05-13 22:30:00+00:00,22
